🕘️更新时间,#genre#
2025-01-09 21:40:41,http://itms4.sdlk.vip:6721/hls/200/index.m3u8$订阅源

📺央视频道,#genre#
CCTV-1,http://itms4.sdlk.vip:6721/hls/200/index.m3u8$订阅源
CCTV-1,http://nas.hssvm.com:8888/udp/225.1.1.120:5002$订阅源
CCTV-1,http://livetv.wqwqwq.sbs/itv/6000000001000029752.m3u8?cdn=wasusyt$订阅源
CCTV-1,http://livetv.wqwqwq.sbs/itv/1000000005000265001.m3u8?cdn=ystenlive$订阅源
CCTV-1,http://play.kankanlive.com/live/1661761962676984.m3u8$订阅源
CCTV-1,http://[2409:8087:5e08:24::2]:6610/000000001000/1000000001000018602/index.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=3$订阅源-IPv6-1920x1080
CCTV-1,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000010000030810/1.m3u8$订阅源-IPv6-1920x1080
CCTV-1,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000021973/1.m3u8$订阅源-IPv6-1920x1080
CCTV-1,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8$订阅源-IPv6-1920x1080
CCTV-1,http://[2409:8087:1a0a:df::4038]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226559/index.m3u8$订阅源-IPv6-1920x1080
CCTV-2,http://itms4.sdlk.vip:6721/hls/217/index.m3u8$订阅源
CCTV-2,http://nas.hssvm.com:8888/udp/225.1.1.133:5002$订阅源
CCTV-2,http://livetv.wqwqwq.sbs/itv/1000000001000023315.m3u8?cdn=ystenlive$订阅源
CCTV-2,https://api.olelive.com/dis/live/CCTV2HD/hls.m3u8$订阅源
CCTV-2,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000011000031101/index.m3u8?channel-id=bestzb&Contentid=5000000011000031101&livemode=1&stbId=3$订阅源-IPv6-1920x1080
CCTV-2,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000012442/1.m3u8$订阅源-IPv6-1920x1080
CCTV-2,http://[2409:8087:1a0a:df::4038]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225588/index.m3u8$订阅源-IPv6-1920x1080
CCTV-2,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8$订阅源-IPv6-1920x1080
